Spanish Cuss Expressions
a tomar por culo
chupa pijas
chupa pingas
chupa pollas
chupadme la polla
chúpame la polla
chúpame un huevo
comedme el coño
comedme los huevos
cómeme el coño
cómeme los huevos
hija de perra
hija de puta
hijo de perra
hijo de puta
la concha de tu madre
la madre que os parió
la madre que te parió
la puta de su madre
la puta de tu madre
mal nacida
mal nacido
me cago en Cristo
me cago en Dios
me cago en la Virgen
me cago en la leche
me cago en la mar
me cago en la mar salada
me cago en la puta
me cago en su puta madre
me cago en sus muertos
me cago en todo lo que se menea
me cago en tu puta madre
me cago en tus muertos
me cago en vuestra puta madre
me cago en vuestros muertos
me come el coño
me comen el coño
me comes los huevos
me coméis el coño
me coméis los huevos
me podéis chupar la polla
me podéis comer el coño
me podéis comer los huevos
me puede chupar la polla
me puede comer el coño
me puedes comer el coño
me puedes comer los huevos
me va a comer el coño
me va a comer todo el coño
me vais a comer el coño
me vais a comer todo el coño
me vas a comer el coño
me vas a comer todo el coño
mierda de persona
pedazo de mierda
perro flauta
que le den
que le den por culo
que les den
que les den por culo
que os den
que os den por culo
que os follen
que te den
que te den por culo
que te folle
que te follen
sácate la polla de la boca
tonta de los cojones
tonta del culo
tonto de los cojones
tonto del culo
trozo de mierda
una polla
una polla en vinagre
vete a la mierda
vete a la verga
vete a tomar por culo
vete a tomar por saco
vete a tomar viento
