Spanish Cuss Words
anormal
bubis
bufarracas
bufas
capulla
capullo
caraculo
caramierda
chocho
chupahuevos
chupapijas
chupapingas
chupapollas
chupádmela
chúpamela
cipote
cojones
cojón
coño
culo
domingas
estúpida
estúpido
follada
follado
follar
gilipollas
hostia
hostias
huevona
huevón
imbécil
inútil
japuta
joder
jodido
joputa
lameculos
lerda
lerdo
malfollada
malfollado
mamelungas
mamona
mamón
marica
maricón
mierda
mierdón
orto
ostia
ostias
pajera
pajero
pajote
papanatas
pelagatos
pendeja
pendejo
pinga
pirada
pirado
polla
pollas
pollón
pringada
pringado
pringao
puta
puto
subnormal
tetarracas
tetazas
tetorras
teturras
tocacojones
tocapelotas
tonta
tonto
verga
zorra
zorrón
zumbada
zumbado
