French Cuss Words
abruti
abrutie
bite
bordel
bouffon
branler
bâtard
bâtardise
clochard
cocue
con
connard
connasse
cul
cunt
dégueu
dégueulasse
enculé
enculée
flinguer
foutre
gouine
gueule
imbécile
merde
moche
negre
niquer
putain
pute
pédale
pédé
salaud
salop
salopard
salope
sucer
tapette
tarlouze
taré
