English Cuss Words
arse
arsehead
arsehole
ass
asshole
bastard
bitch
bloody
blowjob
blumpkin
bollocks
brotherfucker
bugger
bullshit
child-fucker
cock
cocksucker
cockwad
crap
cumshot
cunt
dammit
damn
damned
dick
dick-head
dickhead
dumb-ass
dumbass
dyke
fag
faggot
father-fucker
fatherfucker
footjob
fuck
fucker
fucking
goddammit
goddamn
goddamned
goddamnit
godsdamn
handjob
hell
horseshit
jack-ass
jackarse
jackass
kike
mother-fucker
motherfucker
nigga
nigger
nigra
pigfucker
piss
prick
prostitute
pussy
redneck
shit
shite
shithead
sisterfuck
sisterfucker
slut
spastic
twat
wanker
whore
